ID,Severity,Category,Page,Feature,Title,Description,Steps to Reproduce,Expected,Actual,Recommended Fix,Status
"D-21","Low","Accessibility","Sidebar, SessionView, Home","Heading hierarchy","Heading hierarchy skips levels and SessionView has no h1 before a topic is set","Sidebar.vue:416-417 jumps to h3 with no intervening h2; SessionHeader.vue:9-10 and SessionView.vue:6 render no h1 until a topic exists; HomeView.vue:3 carries the only reliable h1.","1. Open a session before a topic is set; 2. List the documents headings with a screen reader","A single h1 per view and no skipped levels","Heading navigation - a primary screen-reader wayfinding tool - lands on an incoherent outline, and one view has no h1 at all.","Add a visually-hidden h1 to SessionView that falls back to a generic label before the topic resolves, and demote the sidebar h3 to the correct level.","Open"
"D-22","Low","UI","SessionHeader","Affordance","Session topic link is visually indistinguishable from plain heading text","SessionHeader.vue:43-68 styles the topic link identically to heading text; :15 and :20 show a title attribute is the only affordance hint.","1. Open a session; 2. Look at the topic heading; 3. Try to discover it is clickable without hovering","A visible affordance - underline, colour, or an explicit link/button treatment","The richest screen in the app (gaps, mastery, subtopic levels, learning events) sits behind an unlabelled click on what reads as page furniture. Related to the UX agents U-6: this is the ONLY route to the session profile.","Give the link a visible affordance and, given it is the sole entry point, consider promoting it to an explicit labelled control.","Open"
"D-23","Low","UX","Settings, Appearance tab","Theme selection","Follow system theme becomes unreachable after the first manual toggle","AppearanceTab.vue:12-23 offers only a light/dark toggle, while useTheme.js:4, :11-13, :16-23 and :65-67 support a third system value that is written only on first load. Once the user picks either explicit theme there is no control that writes system back.","1. Load the app with no stored preference so the theme follows the OS; 2. Toggle to light or dark once; 3. Look for a way back to following the system","A three-state control, or an explicit reset","The system option is permanently unreachable through the UI. The user must clear site data to restore OS-following behaviour.","Make the Appearance control three-state (System / Light / Dark), matching the values useTheme already supports.","Open"
"D-24","Low","UI","App bootstrap","Theme flash","[data-theme=dark]-scoped component overrides do not apply during the pre-hydration paint","useTheme.js:25-33 and :41-56 stamp data-theme on the root during app init, after the first paint. base.css:167-200 handles the root palette via prefers-color-scheme, but component-level overrides scoped to [data-theme=dark] (e.g. ProfileView.vue:404, :413, :454, :486) have no media-query counterpart.","1. Set the OS to dark; 2. Hard-reload the app on a view carrying [data-theme=dark]-scoped rules; 3. Watch the first paint","No flash - the correct theme is applied on the very first paint","Component-scoped dark overrides miss the pre-hydration paint, so those elements flash light-theme colours before the attribute is stamped.","Mirror the component-level [data-theme=dark] rules under a prefers-color-scheme: dark media query, or stamp data-theme from an inline script in index.html before the stylesheet is applied.","Open"
"D-25","Low","UI","SessionView composer","Grid layout","Composer Skip and Send both claim grid-column: 3, adding a second grid row while a check is active","Composer.vue:41 and :52 place Send, :64-73 places Skip, and :192-194, :317, :350 and :434 assign both to grid-column 3, so they cannot share a row. SessionView.vue:146 wires the skip handler.","1. Trigger a check question so locked would be true; 2. Observe the composer layout","One row, with Skip and Send side by side","A second grid row is introduced, shifting composer height. Currently unreachable because E-20 shows checkLocked is hard-coded false, so Skip never renders - but the latent layout bug will appear the moment Skip is enabled.","Assign Skip and Send distinct grid columns, and resolve alongside E-20 which decides whether Skip should exist at all.","Open"
"E-14","Low","Bug","SessionView error banner","Retry","Retry silently clobbers edits the user made to the failed message","SessionView.vue:609-613 retryLastMessage sets draft.value = lastSentText.value unconditionally before calling send(), overwriting whatever is currently in the composer. The banner at :94-102 offers the Retry control.","1. Send a message that fails with a 500 - the catch restores the original text into draft and shows the banner; 2. Edit the restored text in the composer, shortening it or fixing a typo; 3. Click Retry","The message currently visible in the composer is sent","draft is overwritten with the original pre-edit text and that is what gets sent. The edits are discarded with no warning and no visible transition, because the composer clears at line 594 immediately afterwards.","retryLastMessage should send draft.value when it is non-empty, falling back to lastSentText only when the composer is empty.","Open"
"E-15","Low","UX","SessionView - UploadStatus vs ReferenceStatusBanner","Status banners","The upload banner and the reference banner give contradictory answers after 30 seconds","SessionView.vue:746-778 polls upload status 30 times at 1 s intervals then writes a terminal still processing message at :774-777 which nothing ever clears. ReferenceStatusBanner.vue:64-75 keeps its own 2 s poll running and flips to N references ready. The two are stacked adjacently at SessionView.vue:113-115. Perf half of the same code is F-12.","1. Upload a large PDF whose ingestion takes longer than 30 s; 2. Wait a further minute without navigating away; 3. Read both banners","One authoritative status line that eventually says ready","The user is told the file is both still processing and ready at the same time, in two boxes one above the other.","Drop the terminal uploadStatus write and let ReferenceStatusBanner own steady-state ingestion status; UploadStatus should cover only the transfer itself.","Open"
"E-16","Low","UX","Settings, Account tab","Danger zone","Danger zone / Reset removes your local profile does nothing of the sort","AccountTab.vue:114-130 renders a red Danger zone whose copy promises Reset removes your local profile and runs onboarding again, but the control is a plain router-link to /onboarding?retake=1. user.js:114-119 resetOnboarding() is exported but called from nowhere in src/ - a repo-wide grep finds it only in the store and its unit test. OnboardingView.vue:72-77 pre-fills both fields from existing store values.","1. Go to /settings/account; 2. Read the red Danger zone copy and hesitate; 3. Click Retake onboarding","Per the copy: local profile wiped and onboarding restarted from blank","Nothing is removed and nothing is dangerous. Retake is a two-field edit form pre-filled with current values. The scariest-looking control in Settings is the mildest one, so users who want a reset do not get one and users who fear one are deterred from a harmless edit. Miscalibrated danger styling also erodes trust in the styling elsewhere.","Either relabel to Redo onboarding and move it out of the danger zone, or wire the link to call resetOnboarding() first and keep the copy honest.","Open"
"E-17","Low","UX","SessionView / CheckQuestion","In-flight feedback","Check-question answers have no in-flight feedback and a second click vanishes","CheckQuestion.vue:40-51 binds :disabled=answered, and answered only becomes true once POST /check/answer returns. session.js:515-535 begins with if (checkAnswering.value) return - a silent early return with no feedback.","1. On a slow connection, answer a check question; 2. The options stay enabled and unchanged for the whole round-trip; 3. Click a different option while waiting","Options disable or show a pending state the instant the first click lands","No visual change at all for the duration of the request, and the second click is swallowed silently, so the user reasonably concludes the card is broken. If answerCheck then rejects, item.status stays pending and the error surfaces in the session banner where canRetry is false, so there is no Retry control and the user must guess to click again.","Bind :disabled=answered || busyAnswering and expose store.checkAnswering to the card so the pressed option shows a pending state.","Open"
"E-18","Low","Bug","ProfileView","Param watching","ProfileView never reloads when its :id changes (latent)","ProfileView.vue:344 is onMounted(load) with no watch on props.id. The sibling view solves exactly this at SessionView.vue:542-553. topicLabel at :264-267 resolves from the store rather than from loaded data.","1. Be at /session/A/profile; 2. Navigate directly to /session/B/profile without an intervening component change; 3. Read the page","Session Bs profile","Vue Router reuses the component for a same-name param-only navigation, onMounted does not re-fire, and the page renders session As data under session Bs URL. The heading is worse than stale - topicLabel resolves Bs topic, so title and body describe different sessions. Any edit then PATCHes B with As ETag, giving a 412 and the misleading Profile changed elsewhere notice from E-08. REACHABILITY CAVEAT: no path in the current UI produces this navigation; filed as latent.","watch(() => props.id, load) plus a _loadSeq discriminator matching the idiom already used in SessionsLibraryView.vue:54-79.","Open"
"E-19","Low","Bug","HomeView / useStartFlow","Promise handling","Failed session creation produces an unhandled promise rejection","HomeView.vue:107-109 startQuick calls begin(quickTopic.value) with no await and no .catch(). useStartFlow.js:15-38 begin has try/finally but no catch, and :79-88 _create rethrows. Every other call site of a rethrowing store action in this repo has a deliberate empty catch for exactly this reason - ReviewView.vue:93-95, SessionsLibraryView.vue:25-27, SidebarSessionRow.vue:78-80, all annotated with finding IDs from earlier audits.","1. Press Start on the home screen with the backend returning 500; 2. Open the browser console","The rejection is handled where the UI reacts to it - the store already recorded the error","An unhandled promise rejection reaches the window. HomeView is the one call site that was missed. Noise in error monitoring that masks real failure signal, which matters more once error reporting is actually wired up per G-05.","startQuick should call begin(quickTopic.value).catch(() => {}), matching the sibling call sites.","Open"
"E-20","Low","Bug","SessionView / Composer","Dead code","The composers Skip button is unreachable dead code","session.js:490-493 defines checkLocked as computed(() => false) with a comment noting typing mid-batch is allowed, so locked is always false. Composer.vue:64-73 (Skip button), :118-122 (placeholder) and :17 (attach lock) are all gated on it, and the @skip wiring at SessionView.vue:146 can never fire from this path.","1. Trigger a check question; 2. Observe the composer","Whatever the design intends","Three pieces of Composer behaviour are permanently dead. No user-facing breakage, but it is a live decoy for anyone reading or modifying the check-question flow, and the composer offers no skip affordance at all - the only Skip lives on the card at CheckQuestion.vue:61-70.","Delete the locked prop and its three branches, or make checkLocked reflect a real condition. Resolve alongside D-25.","Open"
"F-20","Low","Performance","App bootstrap","Listener cleanup","useTheme registers a matchMedia change listener that is never removed","useTheme.js:41-56 init() adds a matchMedia change listener with no removal path and no re-entry guard; it is called once at main.js:46.","1. Call init() more than once - a future settings re-init action, a test harness, or an HMR path; 2. Observe one leaked closure per call","init() is idempotent and the listener is disposable","Currently zero impact in production - init() is called once at bootstrap and the listener is correctly scoped to the app lifetime. Latent: any future caller leaks one closure per call, each keeping the module-level resolved computed alive.","Guard with if (mediaQuery) return at the top of init(), and store handler at module scope with a dispose() export.","Open"
"F-21","Low","Performance","Session view transcript","List keying","Optimistically appended user message has no stable key, forcing keyed-diff churn on message prepend","session.js:805 pushes the optimistic user row with no message_id, so MessageList.vue:35 falls back to an index key; session.js:308 prepends older pages.","1. Send a message; 2. Scroll up to prepend an older page; 3. Observe the optimistic bubble unmount and remount","A stable key so the bubble is preserved across prepends","One UserBubble is unmounted and remounted per prepend. Negligible on its own; recorded because it is one crypto.randomUUID() away from correct, and index keys inside a TransitionGroup become expensive if the pattern spreads.","Push the optimistic row with a locally generated message_id and reconcile it in finalizeMessage.","Open"
"G-13","Low","Code Quality","Agent loop","Function size","run_streaming is a single ~480-line function","tutor.py:132-612 is one function holding the cap check, the LiteLLM call, chunk assembly, cost metering with a two-level fallback, tool-call reordering, per-tool dispatch, citation dedup, excerpt wrapping, three persistence paths and three exception arms, plus ten mutable locals the exception arms read back. The asked_check hoist at :163 is commented as existing purely so the cancel arm can see it.","1. Open backend/agent/tutor.py; 2. Observe lines 132-612 are one function against the stated ~100-line threshold","Sub-100-line functions with extracted collaborators","About 480 lines, roughly 5x the threshold. Load-bearing for correctness: the cost-accounting bug fixed at :251-255 was caused by a block at the wrong nesting depth inside this function, and the knowingly-accepted double-count at :573-586 is a tracked follow-up. Both are size-induced.","Extract three seams with clean input/output boundaries: _stream_one_iteration() (:208-249), _meter_iteration() (:256-288) and _dispatch_tool_calls() (:349-481). The three exception arms then operate on a small explicit state object rather than closure locals.","Open"
"G-14","Low","Code Quality","Module structure","Module size","Two in-scope modules exceed the 600-line threshold","wc -l over the in-scope tree gives profile_service.py 667 and tutor.py 612. Every other in-scope module is comfortably under; the next largest is check_question_service.py at 462. profile_service.py mixes per-session profile read/write/guard-rail logic (lines 1-499) with cross-session aggregate/insights reporting (_learning_insights at :506 onward).","1. Run wc -l backend/agent/*.py backend/services/*.py backend/lib/*.py; 2. Observe the two modules over 600","Modules under roughly 600 lines","Hygiene only. Filed because the split in profile_service.py is clean and obvious - the aggregate half shares no state with the patch half, only the LearningEvent model.","Extract lines 502-667 of profile_service.py into services/profile_insights.py. tutor.py shrinks naturally once the G-13 extractions land.","Open"
"G-15","Low","Code Quality","Tool dispatch","Dead defensive code","Unreachable session_id mismatch guards in two services","agent/tools.py:113 unconditionally overwrites the field before validation with args = {**args, session_id: ctx.session_id}, so the downstream comparisons at profile_service.py:336-341 and retrieval_service.py:27-32 are always false.","1. Read tools.py:113, the only caller of apply_patch and retrieve in the agent path; 2. Observe args[session_id] is always ctx.session_id by construction; 3. The downstream comparisons can never be true","Either the guard is reachable, or it is documented as belt-and-braces","Dead defensive code. It is good dead code - defence in depth against a future caller that bypasses dispatch - but a reader cannot tell whether it is live, and it dilutes the signal that tools.py:113 is the actual control. Notably check_question_service.register has no such check at all, confirming the team already treats tools.py:113 as authoritative.","Keep the guards as cheap insurance but add a one-line comment at each pointing to tools.py:113 as the primary control, and mirror them into check_question_service.register for consistency. Alternatively delete all of them and rely solely on tools.py:113 with a test asserting the override. Either is fine; the mixed state is the problem.","Open"
"Q-06","Low","Security","CI - Security job","Scanner thresholds","Container and SAST gates are tuned to their least sensitive settings","'.github/workflows/ci.yml:145-146' runs bandit with -lll -iii (high severity AND high confidence only). ci.yml:158-159 runs trivy with severity CRITICAL and ignore-unfixed true. Noted for accuracy rather than as a defect - the rest of this job (pip-audit, npm audit, gitleaks over full history, hadolint, semgrep OWASP, SHA-pinned actions) is genuinely strong.","1. Introduce a dependency with a HIGH but not CRITICAL CVE; 2. Open a PR; 3. The Security job passes","The CI security summary accurately reflects the coverage it provides","A HIGH severity CVE in a base image or a medium-confidence injection finding passes CI silently. trivy passed means no critical, fixable image vulnerabilities, not no serious image vulnerabilities, and a reader would reasonably assume the latter.","No change required before launch. Post-launch, run trivy at HIGH,CRITICAL in report-only mode alongside the blocking CRITICAL gate so the backlog is visible without blocking merges.","Open"
